Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Queens,Torsney Playground,04/21/2023 06:00:00 PM,,K.I.M,160,
Manhattan,Happy Warrior Playground,06/15/2022 06:00:00 PM,,K.I.M,276,
Queens,Astoria Heights Playground,07/10/2024 06:00:00 PM,,K.I.M,275,
Staten Island,Schmul Park,06/22/2022 10:00:00 AM,Various Sports,S.S.E,10,
Queens,Helen Marshall Playground,08/29/2024 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Martin Luther King Plgd,10/03/2023 06:00:00 PM,,K.I.M,40,
Manhattan,Samuel Seabury Playground,08/17/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Brownsville Recreation Center,08/31/2024 12:00:00 PM,Various Sports,S.S.E,65,
Manhattan,Columbus Park,07/11/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Williamsbridge Oval Park,07/16/2024 04:00:00 PM,Soccer,S.S.E,23,
Queens,Horace Harding Playground,05/24/2023 06:00:00 PM,,K.I.M,95,
Bronx,Poe Park,08/02/2023 10:00:00 AM,,K.I.M,71,
Bronx,Williamsbridge Oval Park,08/21/2024 04:00:00 PM,Flag Football,S.S.E,0,Detailed to Event
Queens,Torsney Playground,06/25/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Gertrude Ederle Recreation Center,09/17/2024 05:16:00 PM,,K.I.M,63,
Brooklyn,Hamilton Metz Field,09/25/2024 10:00:00 AM,,K.I.M,11,
Queens,Flushing Meadows Corona Park,06/22/2022 06:00:00 PM,,K.I.M,9,
Queens,Hoover - Manton Playgrounds,06/13/2024 06:00:00 PM,,K.I.M,65,
Queens,Athens Square,07/15/2022 06:00:00 PM,,K.I.M,26,
Bronx,Slattery Playground,06/18/2024 11:26:00 AM,,K.I.M,98,
Brooklyn,Russell Pedersen Playground,06/14/2023 10:00:00 AM,,K.I.M,26,
Brooklyn,Brower Park,08/24/2022 10:00:00 AM,,K.I.M,32,
Queens,Park of the Americas,04/29/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Brooklyn,Seth Low Playground/ Bealin Square,08/17/2022 10:00:00 AM,,K.I.M,130,
Manhattan,Langston Hughes Playground,07/31/2024 06:31:00 PM,,K.I.M,40,
Staten Island,Rev. Dr. Maggie Howard Playground,08/16/2024 10:00:00 AM,,K.I.M,45,Bad Weather
Queens,Bayswater Park,06/11/2024 06:00:00 PM,,K.I.M,40,
Brooklyn,Sternberg Park,08/29/2024 10:00:00 AM,,K.I.M,75,
Staten Island,Rev. Dr. Maggie Howard Playground,08/16/2023 10:00:00 AM,,K.I.M,108,
Brooklyn,John J Carty Park,06/16/2022 10:00:00 AM,,K.I.M,16,Detailed to Event
Staten Island,The Big Park,09/29/2022 10:00:00 AM,,K.I.M,12,
Queens,Bowne Park,08/05/2022 05:00:00 PM,,K.I.M,40,
Queens,Grover Cleveland Playground,05/31/2024 06:00:00 PM,,K.I.M,192,
Queens,Flushing Meadows Corona Park,07/21/2023 06:00:00 PM,,K.I.M,90,
Queens,Park of the Americas,08/02/2022 10:05:00 AM,,K.I.M,86,
Bronx,St. Mary's Park,08/16/2024 11:26:00 AM,,K.I.M,530,
Staten Island,Levy Playground Fieldhouse,08/05/2023 10:00:00 AM,,K.I.M,58,
Brooklyn,Seth Low Playground/ Bealin Square,06/01/2024 10:00:00 AM,,K.I.M,50,
Brooklyn,John J Carty Park,06/07/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Bloomingdale Playground,06/21/2022 06:00:00 PM,,K.I.M,480,
Bronx,Willis Playground,07/27/2023 10:00:00 AM,,K.I.M,37,
Queens,Bowne Park,07/01/2022 06:00:00 PM,,K.I.M,40,
Brooklyn,Brownsville Recreation Center,07/20/2024 12:00:00 PM,Various Sports,S.S.E,65,
Manhattan,St. Vartans Park,07/12/2022 06:00:00 PM,,K.I.M,150,
Manhattan,Seward Park,06/01/2022 06:00:00 PM,,K.I.M,80,
Brooklyn,Marion Hopkinson Playground,06/06/2023 10:00:00 AM,,K.I.M,57,
Queens,Bayswater Park,07/04/2024 06:00:00 PM,,K.I.M,40,
Staten Island,Austin J. McDonald Playground,10/12/2022 10:00:00 AM,,K.I.M,53,
Queens,Park of the Americas,08/16/2023 06:00:00 PM,,K.I.M,249,
Bronx,Slattery Playground,06/27/2024 11:26:00 AM,,K.I.M,128,
Bronx,Flynn Playground,09/20/2024 11:26:00 AM,,K.I.M,36,
Queens,Hoover - Manton Playgrounds,07/10/2024 06:00:00 PM,,K.I.M,68,
Manhattan,Happy Warrior Playground,05/17/2022 06:00:00 PM,,K.I.M,25,
Bronx,Captain Rivera Playground,08/27/2022 06:00:00 PM,,K.I.M,43,
Queens,Helen Marshall Playground,06/02/2023 06:00:00 PM,,K.I.M,102,
Brooklyn,John J Carty Park,08/10/2022 09:00:00 AM,Various Sports,S.S.E,25,
Manhattan,Seward Park,10/05/2023 06:00:00 PM,,K.I.M,331,
Queens,Bowne Park,09/27/2024 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Juniper Valley Park,07/02/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Martin Luther King Plgd,07/15/2023 06:00:00 PM,,K.I.M,80,
Manhattan,Langston Hughes Playground,08/20/2024 05:37:00 PM,,K.I.M,45,
Staten Island,The Big Park,09/28/2022 10:00:00 AM,,K.I.M,18,
Queens,Police Office Edward Byrne Park,05/17/2024 06:00:00 PM,,K.I.M,27,
Manhattan,Samuel Seabury Playground,07/01/2023 06:00:00 PM,,K.I.M,182,
Queens,Torsney Playground,04/26/2023 06:00:00 PM,,K.I.M,198,
Queens,Astoria Heights Playground,07/20/2022 05:00:00 PM,,K.I.M,35,
Bronx,Williamsbridge Oval Recreation Center,06/15/2022 01:00:00 PM,Various Sports,S.S.E,30,
