Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Manhattan,Sol Lain Plgd,06/10/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Happy Warrior Playground,05/20/2022 06:00:00 PM,,K.I.M,0,
Manhattan,J. Hood Wright Park,08/22/2023 06:00:00 PM,,K.I.M,236,
Queens,Grover Cleveland Playground,08/13/2022 06:00:00 PM,,K.I.M,72,
Brooklyn,Seth Low Playground/ Bealin Square,09/07/2022 10:00:00 AM,,K.I.M,70,
Manhattan,Happy Warrior Playground,09/09/2022 06:00:00 PM,,K.I.M,214,
Queens,Forest Park,08/05/2022 05:00:00 PM,,K.I.M,51,
Manhattan,Martin Luther King Plgd,08/29/2023 06:00:00 PM,,K.I.M,30,
Manhattan,Seward Park,08/24/2023 06:00:00 PM,,K.I.M,300,
Queens,Bowne Park,08/02/2024 06:00:00 PM,,K.I.M,0,Called Out
Queens,Yellowstone Park,07/13/2022 06:00:00 PM,,K.I.M,23,
Manhattan,Fort Tryon Park,08/06/2024 09:04:00 AM,,K.I.M,195,
Bronx,Williamsbridge Oval Park,07/19/2024 04:00:00 PM,Flag Football,S.S.E,25,
Manhattan,Langston Hughes Playground,09/13/2023 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Carmansville Playground,07/15/2022 06:00:00 PM,,K.I.M,199,
Queens,Playground Sixty Two LXII,09/13/2023 06:00:00 PM,Various Sports,S.S.E,12,
Staten Island,Greenbelt Recreation Center,09/20/2022 03:00:00 PM,Flag Football,S.S.E,12,
Queens,L/CPL Thomas P. Noonan Jr. Playground,07/29/2022 10:12:00 AM,Various Sports,S.S.E,75,
Manhattan,Sol Lain Plgd,07/26/2024 09:53:00 AM,,K.I.M,50,
Queens,Corona Golf Playground,06/01/2022 06:00:00 PM,,K.I.M,116,
Queens,Gorman Playground,09/01/2022 06:00:00 PM,,K.I.M,35,
Brooklyn,John J Carty Park,05/19/2022 10:00:00 AM,,K.I.M,5,
Queens,Phil Scooter Rizzuto Park,08/02/2023 06:00:00 PM,,K.I.M,119,
Staten Island,Austin J. McDonald Playground,06/22/2023 10:00:00 AM,,K.I.M,22,
Queens,Corona Golf Playground,04/26/2022 06:00:00 PM,,K.I.M,50,
Bronx,Flynn Playground,08/04/2022 10:00:00 AM,,K.I.M,0,
Manhattan,Seward Park,07/19/2023 06:00:00 PM,,K.I.M,280,
Queens,Yellowstone Park,06/21/2023 06:00:00 PM,,K.I.M,105,
Bronx,Hunts Point Playground,07/13/2022 06:00:00 PM,,K.I.M,100,
Queens,Queensbridge Park,08/18/2023 06:00:00 PM,,K.I.M,70,
Queens,Hoover - Manton Playgrounds,07/23/2024 06:00:00 PM,,K.I.M,138,
Bronx,Loreto Playground,07/11/2024 11:26:00 AM,,K.I.M,75,
Staten Island,Schmul Park,07/27/2022 10:00:00 AM,Various Sports,S.S.E,15,
Brooklyn,Seth Low Playground/ Bealin Square,05/16/2024 10:00:00 AM,,K.I.M,0,Detailed to Event
Queens,Bowne Playground,08/27/2024 06:00:00 PM,,K.I.M,72,
Queens,Yellowstone Park,04/26/2024 06:00:00 PM,,K.I.M,197,
Queens,Grover Cleveland Playground,07/23/2022 05:00:00 PM,,K.I.M,32,
Manhattan,Samuel Seabury Playground,08/31/2022 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Willis Playground,08/26/2023 10:00:00 AM,,K.I.M,47,
Queens,Juniper Valley Park,07/16/2024 06:00:00 PM,,K.I.M,82,
Bronx,Slattery Playground,06/09/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Staten Island,Lieutenant John H. Martinson Playground,05/02/2024 12:07:00 PM,,K.I.M,115,
Brooklyn,Hamilton Metz Field,08/11/2023 10:00:00 AM,,K.I.M,24,
Bronx,Al Quinones Playground,09/05/2024 11:26:00 AM,,K.I.M,100,
Queens,Grover Cleveland Playground,07/15/2022 06:00:00 PM,,K.I.M,31,
Staten Island,Rev. Dr. Maggie Howard Playground,08/12/2023 10:00:00 AM,,K.I.M,122,
Queens,Helen Marshall Playground,06/29/2022 06:00:00 PM,,K.I.M,38,
Brooklyn,Maria Hernandez Park,08/06/2024 10:00:00 AM,,K.I.M,53,
Staten Island,Skyline Playground,06/06/2024 10:00:00 AM,Various Sports,S.S.E,16,
Manhattan,Columbus Park,08/26/2022 06:00:00 PM,,K.I.M,116,
Manhattan,Fort Tryon Park,07/11/2024 09:06:00 AM,,K.I.M,437,
Queens,Pomonok Playground,07/16/2024 06:00:00 PM,Various Sports,S.S.E,2,
Manhattan,Bloomingdale Playground,05/23/2023 06:00:00 PM,,K.I.M,380,
Manhattan,Happy Warrior Playground,05/07/2022 06:00:00 PM,,K.I.M,0,No Attendance
Staten Island,DeMatti Park Fieldhouse,06/21/2024 10:00:00 AM,,K.I.M,201,
Queens,Bayswater Park,08/26/2022 03:42:00 PM,,K.I.M,92,
Queens,Athens Square,07/05/2022 06:00:00 PM,,K.I.M,20,
Staten Island,The Big Park,04/24/2024 10:00:00 AM,,K.I.M,10,
Brooklyn,Bedford Playground,05/26/2022 10:00:00 AM,,K.I.M,78,
Brooklyn,Dyker Beach Park,10/01/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Staten Island,Skyline Playground,06/13/2024 11:28:00 AM,Various Sports,S.S.E,35,
Bronx,Flynn Playground,05/17/2022 06:00:00 PM,,K.I.M,20,
Bronx,St. Mary's Park,07/20/2023 10:00:00 AM,,K.I.M,550,
Manhattan,Sol Lain Plgd,09/09/2023 06:00:00 PM,,K.I.M,1943,
Bronx,Williamsbridge Oval Park,09/27/2024 03:00:00 PM,Tennis,S.S.E,7,
Queens,Bowne Park,07/26/2024 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,Hamilton Metz Field,07/09/2024 10:00:00 AM,,K.I.M,7,
Queens,Rochdale Park,08/10/2022 06:00:00 PM,,K.I.M,0,No Attendance
Brooklyn,Brower Park,05/07/2024 10:00:00 AM,,K.I.M,10,
Queens,Bowne Park,05/17/2024 06:00:00 PM,,K.I.M,80,
Staten Island,The Big Park,07/06/2022 10:00:00 AM,,K.I.M,76,
Queens,Roy Wilkins Park,08/03/2024 06:00:00 PM,,K.I.M,109,
Queens,Roy Wilkins Park,08/08/2024 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Juniper Valley Park,07/31/2024 06:00:00 PM,,K.I.M,58,
Manhattan,Happy Warrior Playground,05/26/2022 06:00:00 PM,,K.I.M,102,
Manhattan,McKinley Playground,06/15/2022 06:00:00 PM,,K.I.M,93,
Staten Island,Skyline Playground,05/30/2024 11:28:00 AM,Various Sports,S.S.E,16,
Manhattan,J. Hood Wright Park,09/08/2023 06:00:00 PM,,K.I.M,17,Bad Weather
Queens,Springfield Park,07/23/2022 10:10:00 AM,Various Sports,S.S.E,20,
Bronx,Flynn Playground,08/24/2024 11:26:00 AM,,K.I.M,59,
Manhattan,Happy Warrior Playground,08/31/2023 06:00:00 PM,,K.I.M,0,Called Out
Queens,Helen Marshall Playground,10/12/2022 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,William Sheridan Playground,06/29/2024 10:00:00 AM,,K.I.M,44,
Queens,Helen Marshall Playground,07/26/2024 06:00:00 PM,,K.I.M,80,
Staten Island,DeMatti Park Fieldhouse,06/23/2023 10:00:00 AM,,K.I.M,86,
Bronx,Crotona Park,08/15/2023 10:00:00 AM,,K.I.M,6,
Manhattan,Martin Luther King Plgd,08/12/2022 06:00:00 PM,,K.I.M,375,
Brooklyn,Hamilton Metz Field,06/06/2024 10:00:00 AM,,K.I.M,13,
Manhattan,Bloomingdale Playground,06/17/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Sternberg Park,08/12/2023 10:00:00 AM,,K.I.M,45,
Staten Island,The Big Park,09/17/2022 10:00:00 AM,,K.I.M,31,
Manhattan,St. Catherine's Park,10/11/2023 06:00:00 PM,,K.I.M,452,
Staten Island,Austin J. McDonald Playground,09/27/2022 10:00:00 AM,,K.I.M,71,
Queens,Bowne Playground,08/02/2023 06:00:00 PM,,K.I.M,115,
Brooklyn,Carroll Park,09/16/2023 10:00:00 AM,,K.I.M,16,
Manhattan,St. Catherine's Park,07/14/2023 06:30:00 PM,,K.I.M,0,Bad Weather
Queens,Yellowstone Park,08/31/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Bowne Park,06/27/2023 06:00:00 PM,,K.I.M,120,
Staten Island,DeMatti Park Fieldhouse,07/19/2023 10:00:00 AM,,K.I.M,93,
Queens,Park of the Americas,07/20/2023 06:00:00 PM,,K.I.M,299,
Queens,Astoria Heights Playground,08/25/2023 06:00:00 PM,,K.I.M,75,
Brooklyn,John J Carty Park,07/09/2022 10:00:00 AM,,K.I.M,5,Detailed to Event
Manhattan,Columbus Park,09/08/2023 06:00:00 PM,,K.I.M,0,No Attendance
Brooklyn,Carroll Park,09/09/2022 10:00:00 AM,,K.I.M,0,
Brooklyn,Century Playground,07/01/2023 10:00:00 AM,,K.I.M,20,
Manhattan,Seward Park,09/29/2022 06:13:00 PM,,K.I.M,300,
Queens,Harold Schneiderman Playground,08/25/2023 06:00:00 PM,,K.I.M,14,
Queens,Horace Harding Playground,06/14/2022 10:43:00 AM,Various Sports,S.S.E,85,
Staten Island,Greenbelt Recreation Center,10/05/2022 03:00:00 PM,Flag Football,S.S.E,8,
Manhattan,Sol Lain Plgd,07/26/2023 06:00:00 PM,,K.I.M,350,
Manhattan,Seward Park,08/16/2022 06:00:00 PM,,K.I.M,250,
Manhattan,Seward Park,06/26/2024 04:10:00 PM,,K.I.M,281,
Queens,Phil Scooter Rizzuto Park,07/22/2022 05:00:00 PM,,K.I.M,55,
Bronx,Captain Rivera Playground,07/09/2022 06:00:00 PM,,K.I.M,48,
Queens,Astoria Park,08/04/2022 06:00:00 PM,,K.I.M,0,
Staten Island,Greencroft Playground,07/22/2023 10:00:00 AM,,K.I.M,0,Detailed to Event
Staten Island,Levy Playground,05/10/2024 10:00:00 AM,,K.I.M,10,
Manhattan,Seward Park,05/31/2023 06:00:00 PM,,K.I.M,331,
Brooklyn,Calvert Vaux Park,07/29/2023 10:00:00 AM,,K.I.M,,Detailed to Event
Queens,Bayswater Park,07/05/2022 06:00:00 PM,,K.I.M,32,
Brooklyn,Marion Hopkinson Playground,06/08/2023 10:00:00 AM,,K.I.M,,Bad Weather
Queens,Bowne Playground,05/26/2023 06:00:00 PM,,K.I.M,440,
Staten Island,Rev. Dr. Maggie Howard Playground,08/19/2022 10:00:00 AM,,K.I.M,103,
Manhattan,Carmansville Playground,08/14/2024 04:54:00 PM,,K.I.M,81,
Queens,Torsney Playground,05/27/2023 06:00:00 PM,,K.I.M,175,
Queens,Astoria Heights Playground,09/16/2022 06:00:00 PM,,K.I.M,23,
Manhattan,Carmansville Playground,05/31/2022 06:00:00 PM,,K.I.M,120,
Staten Island,Rev. Dr. Maggie Howard Playground,09/12/2024 10:00:00 AM,,K.I.M,65,Bad Weather
Manhattan,Langston Hughes Playground,08/30/2024 05:31:00 PM,,K.I.M,6,
Manhattan,J. Hood Wright Park,08/25/2022 06:00:00 PM,,K.I.M,276,
Manhattan,Samuel Seabury Playground,08/08/2023 06:00:00 PM,,K.I.M,120,
Manhattan,Sol Lain Plgd,09/06/2023 06:00:00 PM,,K.I.M,100,
Staten Island,Austin J. McDonald Playground,08/18/2022 10:00:00 AM,,K.I.M,85,
Brooklyn,Dyker Beach Park,07/21/2022 10:00:00 AM,,K.I.M,50,Called Out
Brooklyn,Hamilton Metz Field,08/28/2024 10:00:00 AM,,K.I.M,6,
Queens,Grover Cleveland Playground,06/08/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Corona Golf Playground,07/09/2022 06:00:00 PM,,K.I.M,98,
Staten Island,Greencroft Playground,08/04/2023 10:00:00 AM,,K.I.M,52,
Manhattan,Happy Warrior Playground,06/18/2024 11:04:00 AM,,K.I.M,132,
Queens,Astoria Heights Playground,09/23/2022 06:00:00 PM,,K.I.M,23,
Manhattan,Carmansville Playground,07/27/2022 06:00:00 PM,,K.I.M,0,No Attendance
Brooklyn,Sternberg Park,06/25/2022 10:00:00 AM,,K.I.M,112,
Manhattan,Carmansville Playground,05/29/2024 09:36:00 AM,,K.I.M,164,
Staten Island,Arrochar Playground,05/07/2024 10:00:00 AM,,K.I.M,100,
Queens,Bowne Park,07/06/2024 06:00:00 PM,,K.I.M,80,
Manhattan,Carmansville Playground,06/11/2024 05:53:00 PM,,K.I.M,69,
Brooklyn,John J Carty Park,07/06/2022 09:00:00 AM,Various Sports,S.S.E,21,
Manhattan,St. Catherine's Park,08/23/2023 06:00:00 PM,,K.I.M,1000,
Brooklyn,Marion Hopkinson Playground,06/04/2022 10:00:00 AM,,K.I.M,40,
Brooklyn,Fort Hamilton Senior Recreation Center,07/19/2023 09:00:00 AM,Various Sports,S.S.E,15,
Bronx,Williamsbridge Oval Park,07/10/2024 04:00:00 PM,Flag Football,S.S.E,25,
Manhattan,Bloomingdale Playground,06/02/2023 06:00:00 PM,,K.I.M,360,
Brooklyn,Herbert Von King Park,08/09/2023 10:00:00 AM,,K.I.M,35,
Bronx,Crotona Park,07/21/2023 10:00:00 AM,,K.I.M,0,
Manhattan,McKinley Playground,05/17/2022 06:00:00 PM,,K.I.M,0,
Manhattan,Samuel Seabury Playground,07/25/2024 09:42:00 AM,,K.I.M,120,
Bronx,Williamsbridge Oval Park,07/10/2024 03:00:00 PM,Tennis,S.S.E,10,
Staten Island,Fairview Park,06/14/2024 10:00:00 AM,Various Sports,S.S.E,115,
Queens,Lawrence Virgililo Playground,10/04/2024 06:00:00 PM,,K.I.M,105,
Queens,Roy Wilkins Park,08/15/2024 06:00:00 PM,,K.I.M,101,
Staten Island,DeMatti Park Fieldhouse,09/17/2022 10:00:00 AM,,K.I.M,100,
Queens,Horace Harding Playground,09/28/2022 04:58:00 PM,Various Sports,S.S.E,130,
Queens,Phil Scooter Rizzuto Park,07/23/2022 05:00:00 PM,,K.I.M,0,Called Out
Queens,Astoria Heights Playground,09/06/2023 06:00:00 PM,,K.I.M,127,
Staten Island,Austin J. McDonald Playground Fieldhouse,07/15/2023 10:00:00 AM,,K.I.M,77,
Queens,Bowne Park,05/17/2022 06:00:00 PM,,K.I.M,0,Called Out
Brooklyn,Brownsville Recreation Center,09/02/2024 12:00:00 PM,Various Sports,S.S.E,60,
Queens,Hoover - Manton Playgrounds,07/05/2023 06:00:00 PM,,K.I.M,15,
Manhattan,Columbus Park,08/05/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Grover Cleveland Playground,05/14/2024 06:00:00 PM,,K.I.M,188,
Queens,Park of the Americas,06/20/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Willis Playground,08/01/2023 10:00:00 AM,,K.I.M,20,
Brooklyn,Red Hook Park,07/13/2022 10:00:00 AM,,K.I.M,5,
Manhattan,Bloomingdale Playground,07/13/2022 06:00:00 PM,,K.I.M,168,
Bronx,Dawson Playground,06/09/2022 06:00:00 PM,,K.I.M,28,
Brooklyn,Sternberg Park,06/19/2024 10:00:00 AM,,K.I.M,118,
Staten Island,Schmul Park,08/24/2022 10:00:00 AM,Various Sports,S.S.E,5,
Queens,Torsney Playground,06/26/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Yellowstone Park,06/01/2023 06:00:00 PM,,K.I.M,85,
Queens,Horace Harding Playground,06/25/2022 10:00:00 AM,Various Sports,S.S.E,86,
Brooklyn,Brower Park,07/20/2022 10:00:00 AM,,K.I.M,30,
Queens,Grover Cleveland Playground,05/29/2024 06:00:00 PM,,K.I.M,158,
Queens,Helen Marshall Playground,07/24/2024 06:00:00 PM,,K.I.M,93,
Queens,Roy Wilkins Park,07/24/2024 06:00:00 PM,,K.I.M,15,
Queens,Bowne Park,07/11/2023 06:00:00 PM,,K.I.M,90,
Manhattan,Columbus Park,06/03/2022 06:00:00 PM,,K.I.M,178,
Staten Island,Faber Park Recreation Center,07/29/2022 10:00:00 AM,,K.I.M,32,
Queens,Redfern Playground,07/05/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Willis Playground,08/04/2023 10:00:00 AM,,K.I.M,15,
Bronx,Al Quinones Playground,08/09/2022 06:00:00 PM,,K.I.M,20,
Bronx,Walter Gladwin Park,08/27/2024 11:26:00 AM,,K.I.M,15,
Staten Island,Greenbelt Recreation Center,05/01/2024 10:00:00 AM,Various Sports,S.S.E,22,
Queens,Phil Scooter Rizzuto Park,09/30/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Brooklyn,Seth Low Playground/ Bealin Square,06/13/2024 10:00:00 AM,,K.I.M,48,
Queens,Hoover - Manton Playgrounds,09/25/2024 06:00:00 PM,,K.I.M,48,
Manhattan,St. Catherine's Park,08/22/2023 06:00:00 PM,,K.I.M,960,
Brooklyn,Brower Park,05/15/2023 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Seward Park,10/07/2022 06:00:00 PM,,K.I.M,300,
Bronx,Williamsbridge Oval Park,06/27/2024 04:00:00 PM,Flag Football,S.S.E,10,Bad Weather
Staten Island,Fairview Park,09/20/2024 10:45:00 AM,Various Sports,S.S.E,48,
Queens,Astoria Heights Playground,07/14/2022 06:00:00 PM,,K.I.M,40,
Queens,London Planetree Playground,08/19/2022 06:00:00 PM,,K.I.M,48,
Manhattan,Sol Lain Plgd,07/22/2022 06:00:00 PM,,K.I.M,70,
Bronx,Crotona Park,05/11/2022 06:00:00 PM,,K.I.M,42,
Bronx,Flynn Playground,08/10/2024 11:26:00 AM,,K.I.M,41,
Manhattan,Carmansville Playground,06/28/2022 06:00:00 PM,,K.I.M,125,
Bronx,Al Quinones Playground,08/13/2024 11:26:00 AM,,K.I.M,115,
Queens,Bowne Park,07/27/2024 06:00:00 PM,,K.I.M,95,
Bronx,Hunts Point Recreation Center,10/02/2024 11:26:00 AM,,K.I.M,37,
Manhattan,Bloomingdale Playground,05/28/2022 06:00:00 PM,,K.I.M,91,
Queens,Dutch Kills Playground,05/17/2023 06:00:00 PM,Various Sports,S.S.E,80,
Manhattan,Langston Hughes Playground,08/31/2022 06:00:00 PM,,K.I.M,280,
Manhattan,Columbus Park,04/23/2022 06:00:00 PM,,K.I.M,0,No Attendance
Bronx,Poe Park,07/24/2024 11:26:00 AM,,K.I.M,244,
Staten Island,Rev. Dr. Maggie Howard Playground,09/08/2023 10:00:00 AM,,K.I.M,35,
Bronx,Crotona Park,05/24/2022 06:00:00 PM,,K.I.M,52,
Bronx,Lozada Playground,06/29/2022 06:00:00 PM,,K.I.M,40,
Queens,Roy Wilkins Park,07/27/2024 06:00:00 PM,,K.I.M,84,
Manhattan,Martin Luther King Plgd,07/12/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Police Office Edward Byrne Park,07/03/2024 06:00:00 PM,,K.I.M,32,
Queens,London Planetree Playground,08/11/2022 06:00:00 PM,,K.I.M,28,
Brooklyn,Fort Hamilton Senior Recreation Center,07/11/2023 09:00:00 AM,Various Sports,S.S.E,60,
Queens,Rockaway Beach and Boardwalk,07/20/2024 06:00:00 PM,,K.I.M,142,
Staten Island,Austin J. McDonald Playground Fieldhouse,09/14/2024 10:00:00 AM,,K.I.M,43,
Manhattan,Happy Warrior Playground,04/30/2022 06:00:00 PM,,K.I.M,0,No Attendance
Manhattan,Tompkins Square Park,07/02/2022 06:00:00 PM,,K.I.M,0,Bad Weather
Brooklyn,Sternberg Park,04/25/2024 10:00:00 AM,,K.I.M,60,
Staten Island,Rev. Dr. Maggie Howard Playground,07/06/2023 10:00:00 AM,,K.I.M,103,
Brooklyn,Red Hook Park,08/06/2022 12:00:00 PM,,K.I.M,0,
Bronx,St. Mary's Park,08/13/2024 11:26:00 AM,,K.I.M,500,
Bronx,Walter Gladwin Park,07/12/2024 11:26:00 AM,,K.I.M,25,
Manhattan,Seward Park,09/28/2022 06:13:00 PM,,K.I.M,280,
Manhattan,Columbus Park,06/20/2023 06:00:00 PM,,K.I.M,0,Career Coaching
Staten Island,Greenbelt Recreation Center,06/25/2022 03:00:00 PM,Various Sports,S.S.E,40,
Brooklyn,Hamilton Metz Field,07/01/2024 10:00:00 AM,,K.I.M,36,
Manhattan,St. Catherine's Park,09/30/2023 06:00:00 PM,,K.I.M,0,
Queens,Bayswater Park,10/11/2024 06:00:00 PM,,K.I.M,32,
Bronx,Walter Gladwin Park,07/31/2024 11:26:00 AM,,K.I.M,13,
Brooklyn,Fort Greene Park,07/13/2023 10:00:00 AM,,K.I.M,12,
Staten Island,Austin J. McDonald Playground Fieldhouse,10/04/2024 10:00:00 AM,,K.I.M,78,
Brooklyn,Hamilton Metz Field,07/02/2024 10:00:00 AM,,K.I.M,18,
Manhattan,Bloomingdale Playground,08/28/2024 04:41:00 PM,,K.I.M,116,
Queens,Yellowstone Park,07/11/2023 06:00:00 PM,,K.I.M,75,
Staten Island,Faber Park Recreation Center,08/12/2022 10:00:00 AM,,K.I.M,46,
Brooklyn,Dyker Beach Park,06/01/2022 10:00:00 AM,,K.I.M,20,
Staten Island,Austin J. McDonald Playground Fieldhouse,06/15/2024 10:00:00 AM,,K.I.M,75,
Queens,Helen Marshall Playground,09/15/2022 06:00:00 PM,,K.I.M,44,
Bronx,Al Quinones Playground,04/30/2022 06:00:00 PM,,K.I.M,0,
Manhattan,Gertrude Ederle Recreation Center,08/02/2024 06:47:00 PM,,K.I.M,63,
Queens,Hoover - Manton Playgrounds,09/06/2024 06:00:00 PM,,K.I.M,83,
Staten Island,Austin J. McDonald Playground Fieldhouse,08/30/2024 10:00:00 AM,,K.I.M,24,
Manhattan,Happy Warrior Playground,09/22/2023 06:00:00 PM,,K.I.M,300,
Queens,Gorman Playground,06/25/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Bronx,Lozada Playground,06/28/2022 06:00:00 PM,,K.I.M,20,
Manhattan,Langston Hughes Playground,08/13/2024 05:22:00 PM,,K.I.M,60,
Brooklyn,Hamilton Metz Field,08/17/2023 10:00:00 AM,,K.I.M,,Detailed to Event
Staten Island,Rev. Dr. Maggie Howard Playground,09/07/2022 10:00:00 AM,,K.I.M,81,
Bronx,Al Quinones Playground,08/09/2023 10:00:00 AM,,K.I.M,350,
Queens,Astoria Park,08/27/2022 03:42:00 PM,,K.I.M,0,No Attendance
Bronx,Al Quinones Playground,08/27/2024 11:26:00 AM,,K.I.M,110,
Manhattan,Happy Warrior Playground,07/16/2022 06:25:00 PM,,K.I.M,115,
Queens,Highland Park,07/11/2024 06:00:00 PM,,K.I.M,71,
Manhattan,Sol Lain Plgd,10/14/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Manhattan,J. Hood Wright Park,06/04/2024 05:36:00 PM,,K.I.M,385,
Queens,Juniper Valley Park,07/20/2022 05:00:00 PM,,K.I.M,27,
Manhattan,St. Vartans Park,06/28/2022 06:00:00 PM,,K.I.M,200,
Queens,Juniper Valley Park,08/28/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Brooklyn,Seth Low Playground/ Bealin Square,06/20/2023 10:00:00 AM,,K.I.M,,
Manhattan,Little Flower Playground,07/30/2022 06:00:00 PM,,K.I.M,90,
Brooklyn,Brower Park,05/08/2024 10:00:00 AM,,K.I.M,10,
Queens,Flushing Meadows Corona Park,09/16/2022 05:22:00 PM,,K.I.M,21,
Brooklyn,Dyker Beach Park,10/13/2022 10:00:00 AM,,K.I.M,0,Detailed to Event
Manhattan,Sol Lain Plgd,09/14/2022 06:00:00 PM,,K.I.M,80,
Queens,Yellowstone Park,05/30/2023 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Bloomingdale Park,09/12/2023 06:00:00 PM,,K.I.M,355,
Manhattan,Columbus Park,09/07/2023 06:00:00 PM,,K.I.M,0,No Attendance
Queens,Springfield Park,07/19/2023 06:00:00 PM,Various Sports,S.S.E,10,
Manhattan,Langston Hughes Playground,08/28/2024 05:29:00 PM,,K.I.M,50,
Manhattan,Martin Luther King Plgd,06/30/2023 06:00:00 PM,,K.I.M,0,
Queens,Torsney Playground,08/18/2023 06:00:00 PM,,K.I.M,109,
Queens,Juniper Valley Park,07/28/2022 05:00:00 PM,,K.I.M,35,
Queens,Phil Scooter Rizzuto Park,06/04/2024 06:00:00 PM,,K.I.M,113,
Brooklyn,Carroll Park,07/12/2023 10:00:00 AM,,K.I.M,20,
Staten Island,DeMatti Park Fieldhouse,06/23/2023 10:00:00 AM,,K.I.M,38,
Queens,Queensbridge Park,07/16/2024 06:00:00 PM,,K.I.M,80,
Bronx,Behagen Playground,07/25/2023 10:00:00 AM,,K.I.M,20,
Manhattan,Happy Warrior Playground,06/08/2022 06:00:00 PM,,K.I.M,99,
Manhattan,Bloomingdale Playground,07/04/2022 06:00:00 PM,,K.I.M,0,No Attendance
Brooklyn,Sternberg Park,07/26/2024 10:00:00 AM,,K.I.M,64,
Queens,Torsney Playground,07/12/2022 06:00:00 PM,,K.I.M,76,
Queens,Torsney Playground,07/08/2022 06:00:00 PM,,K.I.M,0,Called Out
Staten Island,Lieutenant John H. Martinson Playground,06/27/2024 10:00:00 AM,,K.I.M,125,
Bronx,Hunts Point Recreation Center,10/11/2024 11:26:00 AM,,K.I.M,46,
Queens,Highland Park,08/01/2024 06:00:00 PM,,K.I.M,0,Called Out
Staten Island,Rev. Dr. Maggie Howard Playground,09/15/2023 10:00:00 AM,,K.I.M,41,
Queens,Bowne Park,07/28/2023 06:00:00 PM,,K.I.M,110,
Queens,Hoover - Manton Playgrounds,09/27/2024 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Hoover - Manton Playgrounds,09/11/2024 06:00:00 PM,,K.I.M,110,
Staten Island,Fairview Park,08/02/2024 10:30:00 AM,Various Sports,S.S.E,120,
Bronx,St. Mary's Park,09/21/2023 10:00:00 AM,,K.I.M,205,
Staten Island,The Big Park,06/20/2024 10:00:00 AM,,K.I.M,,
Staten Island,Arrochar Playground,10/13/2022 10:00:00 AM,,K.I.M,61,
Manhattan,Langston Hughes Playground,08/18/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Fort Tryon Park,09/03/2024 05:13:00 PM,,K.I.M,267,
Manhattan,Seward Park,09/12/2023 06:00:00 PM,,K.I.M,300,
Queens,Juniper Valley Park,06/29/2022 06:00:00 PM,,K.I.M,49,
Bronx,Williamsbridge Oval Recreation Center,06/28/2023 04:00:00 PM,Soccer,S.S.E,30,
Manhattan,Columbus Park,08/16/2022 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Columbus Park,07/15/2022 06:00:00 PM,,K.I.M,200,
Manhattan,Columbus Park,06/03/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Bloomingdale Playground,08/20/2022 06:00:00 PM,,K.I.M,201,
Brooklyn,Carroll Park,06/04/2024 10:00:00 AM,,K.I.M,50,
Queens,Playground Sixty Two LXII,08/24/2023 06:00:00 PM,Various Sports,S.S.E,0,Bad Weather
Manhattan,Samuel Seabury Playground,09/12/2024 09:48:00 AM,,K.I.M,260,
Bronx,Hunts Point Recreation Center,09/17/2024 11:26:00 AM,,K.I.M,47,
Staten Island,Rev. Dr. Maggie Howard Playground,08/23/2024 10:00:00 AM,,K.I.M,60,Bad Weather
Bronx,Bronx Park,06/28/2024 11:26:00 AM,,K.I.M,185,
Queens,Phil Scooter Rizzuto Park,08/08/2023 06:00:00 PM,,K.I.M,65,
Bronx,Haffen Park,07/06/2024 10:00:00 AM,Soccer,S.S.E,38,
Manhattan,Columbus Park,05/20/2023 06:00:00 PM,,K.I.M,0,Bad Weather
Queens,Yellowstone Park,06/17/2022 06:00:00 PM,,K.I.M,28,
Queens,Helen Marshall Playground,07/09/2024 06:00:00 PM,,K.I.M,50,
